Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Wang, D., Yu, W., Zou, X.","57092331700;56479633000;7203047857;","Tensor-based mathematical framework and new centralities for temporal multilayer networks",2020,"Information Sciences","512",,,"563","580",,6,"10.1016/j.ins.2019.09.056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073075634&doi=10.1016%2fj.ins.2019.09.056&partnerID=40&md5=22e1fd255587a46d17f7ee12dce3c0e2",Article,"Final","",Scopus,2-s2.0-85073075634
"El Gheche, M., Chierchia, G., Frossard, P.","47061026300;36719859000;7005865062;","OrthoNet: Multilayer Network Data Clustering",2020,"IEEE Transactions on Signal and Information Processing over Networks","6",,"8974205","13","23",,6,"10.1109/TSIPN.2020.2970313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080108170&doi=10.1109%2fTSIPN.2020.2970313&partnerID=40&md5=615eaad6f7a3a4594ce7408c4dfc71a7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85080108170
"Zhang, Z., Xu, D., Ostrosi, E., Cheng, H.","17436650300;57214998981;55925839200;57212486194;","Optimization of the product-service system configuration based on a multilayer network",2020,"Sustainability (Switzerland)","12","2","746","","",,6,"10.3390/su12020746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079630460&doi=10.3390%2fsu12020746&partnerID=40&md5=cb013e35bf94f9111465d2cd115ebd75",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85079630460
"Nacher, J.C., Ishitsuka, M., Miyazaki, S., Akutsu, T.","7003322263;57188701565;7401543551;7102080520;","Finding and analysing the minimum set of driver nodes required to control multilayer networks",2019,"Scientific Reports","9","1","576","","",,6,"10.1038/s41598-018-37046-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060554370&doi=10.1038%2fs41598-018-37046-z&partnerID=40&md5=154d8f5e4825b35b692b0b7672eaf92f",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85060554370
"Shao, Q., Xia, C., Wang, L., Li, H.","57209198420;16205447200;57033052400;36682474500;","A new propagation model coupling the offline and online social networks",2019,"Nonlinear Dynamics","98","3",,"2171","2183",,6,"10.1007/s11071-019-05315-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074853339&doi=10.1007%2fs11071-019-05315-9&partnerID=40&md5=980841294c33d92c5f32b93a0e663950",Article,"Final","",Scopus,2-s2.0-85074853339
"Pournaki, A., Merfort, L., Ruiz, J., Kouvaris, N.E., Hövel, P., Hizanidis, J.","57213165161;57204524588;57213163118;25029951300;14056159100;24343470400;","Synchronization Patterns in Modular Neuronal Networks: A Case Study of C. elegans",2019,"Frontiers in Applied Mathematics and Statistics","5",,"52","","",,6,"10.3389/fams.2019.00052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077633938&doi=10.3389%2ffams.2019.00052&partnerID=40&md5=7fe28c31a0c0c4f184bd19b228029cb6",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85077633938
"Guillon, J., Chavez, M., Battiston, F., Attal, Y., La Corte, V., de Schotten, M.T., Dubois, B., Schwartz, D., Colliot, O., Fallani, F.D.V.","57195602657;9242166800;56122454100;23388415500;36163383100;56395490600;7101841106;7403104656;55887247600;56755855200;","Disrupted core-periphery structure of multimodal brain networks in Alzheimer’s disease",2019,"Network Neuroscience","3","2",,"635","652",,6,"10.1162/netn_a_00087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082860818&doi=10.1162%2fnetn_a_00087&partnerID=40&md5=7b855b34fb60e8cd73e1d0aed9a582f7",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85082860818
"Lv, L., Zhang, K., Zhang, T., Li, X., Zhang, J., Xue, W.","57205558641;56335673500;57205554058;57211601904;57205564687;55330681500;","Eigenvector centrality measure based on node similarity for multilayer and temporal networks",2019,"IEEE Access","7",,"2936217","115725","115733",,6,"10.1109/ACCESS.2019.2936217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073063887&doi=10.1109%2fACCESS.2019.2936217&partnerID=40&md5=67965301534fc433f110b81cf342be3e",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85073063887
"Li, X., Xu, G., Lian, W., Xian, H., Jiao, L., Huang, Y.","57190749709;22981884000;56261524000;24328872300;57209326751;55717083000;","Multi-Layer Network Local Community Detection Based on Influence Relation",2019,"IEEE Access","7",,"8733023","89051","89062",,6,"10.1109/ACCESS.2019.2921571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069789073&doi=10.1109%2fACCESS.2019.2921571&partnerID=40&md5=cfb9dd5957c29e0a024b30f38c9adb3f",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85069789073
"Perillo, C., Battiston, S.","57194377736;6603263932;","A multiplex financial network approach to policy evaluation: the case of euro area Quantitative Easing",2018,"Applied Network Science","3","1","49","","",,6,"10.1007/s41109-018-0098-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065307494&doi=10.1007%2fs41109-018-0098-8&partnerID=40&md5=3953024204baea364af1a216a1e8156e",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85065307494
"Lin, C.-H., Kan, C.-D., Wang, J.-N., Chen, W.-L., Chen, P.-Y.","56275916900;56519274800;7701312355;55977956100;35104472300;","Cardiac Arrhythmias Automated Screening Using Discrete Fractional-Order Integration Process and Meta Learning Based Intelligent Classifier",2018,"IEEE Access","6",,"8466771","52652","52667",,6,"10.1109/ACCESS.2018.2870689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053342462&doi=10.1109%2fACCESS.2018.2870689&partnerID=40&md5=05be84bf8be6b35a22c614f62525494d",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85053342462
"Leyva, I., Sendiña-Nadal, I., Boccaletti, S.","55398853600;6602499111;7006291912;","Explosive synchronization in mono and multilayer networks",2018,"Discrete and Continuous Dynamical Systems - Series B","23","5",,"1931","1944",,6,"10.3934/dcdsb.2018189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050141963&doi=10.3934%2fdcdsb.2018189&partnerID=40&md5=7d62e4c4cdf5abb2ea33f8974e4fac4d",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85050141963
